,Unnamed: 0,Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
67687,2244693,2022/09/04 18:45,220,80FD4ABB0,45701,811953270,2316.73,Shekel,2316.73,Shekel,Cheque,0
236093,28714,2022/09/01 00:26,6129,803783EA0,6129,803783EA0,4.65,US Dollar,4.65,US Dollar,Reinvestment,0
158830,2298029,2022/09/05 00:11,217959,80BB7AAF0,221279,81163FEF0,26.15,Euro,26.15,Euro,Credit Card,0
308599,1370981,2022/09/02 07:41,24963,804886150,29435,80E6F68A0,1366.01,Euro,1366.01,Euro,Credit Card,0
362950,4289605,2022/09/09 02:02,14011,801EA7120,13516,805581330,7442.38,Euro,7442.38,Euro,Cheque,0
363224,1111437,2022/09/01 23:41,21568,807FB3450,123382,808E19410,5.18,UK Pound,5.18,UK Pound,Wire,0
434315,3509329,2022/09/07 12:36,70,100428660,28827,803417450,81.59,US Dollar,81.59,US Dollar,Cheque,0
204555,3622817,2022/09/07 18:20,21,803B60910,210185,80436C890,680117.16,Yen,680117.16,Yen,Cheque,0
99526,4941764,2022/09/10 06:33,70,100428A51,153502,813F703F1,0.016593,Bitcoin,0.016593,Bitcoin,Bitcoin,0
295198,2846260,2022/09/06 03:15,23691,80C52A290,12,8101867E0,189.99,Euro,189.99,Euro,Cheque,0
175889,2725624,2022/09/05 21:55,11402,80472F110,111974,809AB6610,472600.02,Yen,472600.02,Yen,ACH,0
64409,3160139,2022/09/06 19:06,20486,807C52090,21568,807DFED80,646.42,UK Pound,646.42,UK Pound,Wire,0
15735,4931431,2022/09/10 05:56,11,8014F3BE0,11056,80289ED70,18648.46,Euro,18648.46,Euro,ACH,0
484026,468813,2022/09/01 04:48,12513,8023358B0,25536,80253BA20,17797.51,Euro,17797.51,Euro,Credit Card,0
360338,351480,2022/09/01 01:15,1669,802DEF5C0,1669,802DEF5C0,920.62,Euro,920.62,Euro,Reinvestment,0
484616,1128397,2022/09/02 00:07,4600,802675480,27140,802A21A30,424.18,Euro,424.18,Euro,Credit Card,0
97557,1396159,2022/09/02 08:38,23402,807D341F0,121453,8099325E0,56.52,US Dollar,56.52,US Dollar,Cheque,0
259035,1269529,2022/09/02 04:44,1,80039D920,11405,800B08EC0,184678.07,US Dollar,184678.07,US Dollar,Wire,0
186558,162952,2022/09/01 00:27,6625,809842260,6625,809842260,13.18,Euro,13.18,Euro,Reinvestment,0
325895,2618493,2022/09/05 16:21,21381,802FDBFB0,4,8030285D0,104.28,Yuan,104.28,Yuan,Credit Card,0
188738,2148851,2022/09/04 07:09,1068,800BA3E50,11474,800F63960,19.17,US Dollar,19.17,US Dollar,Cheque,0
8499,29584,2022/09/01 00:06,16031,80344F170,25981,803AE3080,479.3,US Dollar,479.3,US Dollar,Cheque,0
355219,5057902,2022/09/10 21:02,133471,80CA75700,33739,80CA7BEE0,75800.73,Mexican Peso,75800.73,Mexican Peso,ACH,0
435996,941631,2022/09/01 18:32,210690,8041417A0,10057,804362A30,3426886.39,Yen,3426886.39,Yen,Cash,0
179569,1010087,2022/09/01 20:57,70,1004287C8,218783,80725FA90,1508643.03,Ruble,1508643.03,Ruble,Credit Card,0
33646,3611921,2022/09/07 17:52,6052,8068B8D50,20,80E7B3330,797.83,Euro,797.83,Euro,Credit Card,0
221255,1188712,2022/09/02 01:58,214,8090A0EA0,25847,809A15CC0,259.5,Canadian Dollar,259.5,Canadian Dollar,Cheque,0
20432,2183083,2022/09/04 11:23,9665,803A41270,15,803A43310,3581881.81,Yen,3581881.81,Yen,ACH,0
240375,4977536,2022/09/10 11:04,21568,807E8C5C0,22575,8087B1D10,486.11,UK Pound,486.11,UK Pound,Cheque,0
383276,4375174,2022/09/09 05:05,240018,80EDD7BE0,240774,80F11D140,12507.59,Swiss Franc,12507.59,Swiss Franc,Credit Card,0
362384,1417744,2022/09/02 09:18,13327,80AAEFCF0,48097,8134A73D0,88.51,Euro,88.51,Euro,Credit Card,0
312936,3668123,2022/09/07 20:41,70,100428660,48292,813AE2AE0,175.55,US Dollar,175.55,US Dollar,Credit Card,0
69731,374520,2022/09/01 01:39,328168,80B018A10,328168,80B018A10,179.29,Australian Dollar,179.29,Australian Dollar,Reinvestment,0
151159,4438415,2022/09/09 07:43,18200,808F5B0E0,112078,80F0151B0,39351.51,Yuan,39351.51,Yuan,Cheque,0
356786,1604003,2022/09/02 15:09,112497,8050DBA00,112497,8050DA820,114030.38,Rupee,114030.38,Rupee,ACH,0
481314,330811,2022/09/01 00:41,19729,804827B20,222363,80A58CA10,331.5,US Dollar,331.5,US Dollar,Wire,0
386782,4011599,2022/09/08 13:32,11296,801796BE1,14077,804FC5061,0.262938,Bitcoin,0.262938,Bitcoin,Bitcoin,0
346254,3098225,2022/09/06 16:22,12004,800E5FE30,22758,801063910,1046.49,Euro,1046.49,Euro,Cheque,0
437579,1134608,2022/09/02 00:11,29992,8048CB300,20822,80F9EA5A0,10963.81,Yuan,10963.81,Yuan,Cheque,0
53073,4301705,2022/09/09 02:32,16109,80AEF8680,2947,813A50EC0,6652.46,US Dollar,6652.46,US Dollar,Cheque,0
201978,4159760,2022/09/08 21:17,120627,807D797C0,28800,80DBA2B90,5972.14,US Dollar,5972.14,US Dollar,Credit Card,0
22438,2114760,2022/09/04 02:59,3,803070260,19318,8038BFE40,11682.3,Yuan,11682.3,Yuan,Cheque,0
137257,515443,2022/09/01 06:07,1241,80C54CA70,1241,80C54CA70,9008.09,US Dollar,9008.09,US Dollar,Reinvestment,0
61093,2693206,2022/09/05 20:03,3144,803185520,227171,812A4F850,10956.44,US Dollar,10956.44,US Dollar,Credit Card,0
244241,4174372,2022/09/08 21:50,21568,8087D1720,220572,8138F3620,133.8,UK Pound,133.8,UK Pound,Cheque,0
373400,557277,2022/09/01 07:25,212789,804BD10A0,13157,8059BA5E0,367091.29,Rupee,367091.29,Rupee,Credit Card,0
92582,106310,2022/09/01 00:10,16031,811AB2060,16031,811AB2060,22.81,US Dollar,22.81,US Dollar,Reinvestment,0
241914,4862588,2022/09/09 23:43,22775,801CAF030,7675,8068B1B30,1638.19,Euro,1638.19,Euro,ACH,0
2550,1604381,2022/09/02 15:04,287,8060AF840,9,8060B73F0,1218133.42,Ruble,1218133.42,Ruble,Cheque,0
443225,666027,2022/09/01 10:36,1412,80670F580,13917,80BBC8660,371.16,US Dollar,371.16,US Dollar,Credit Card,0
22770,1146066,2022/09/02 00:31,1292,8004872A0,1686,8011B3530,634.73,US Dollar,634.73,US Dollar,Credit Card,0
386381,2127524,2022/09/04 04:29,116843,80646FAD0,117304,8066679A0,13565661.2,Ruble,13565661.2,Ruble,Cheque,0
457445,3934111,2022/09/08 09:40,908,801A47A70,6156,808FE4350,3513.78,US Dollar,3513.78,US Dollar,Cash,0
404995,4321014,2022/09/09 03:06,330080,80B2F10F0,128960,80B2F0D00,613.67,Australian Dollar,613.67,Australian Dollar,Credit Card,0
120934,4680170,2022/09/09 16:46,7,8082BE640,26,807EE0AB0,27.46,UK Pound,27.46,UK Pound,Cheque,0
190726,4742978,2022/09/09 19:13,14011,801B55320,24963,801F4BF70,2454.3,Euro,2454.3,Euro,ACH,0
459060,307823,2022/09/01 00:27,43818,810C161C0,43818,810C161C0,23.05,Shekel,23.05,Shekel,Reinvestment,0
239533,1782613,2022/09/02 21:12,2843,80076C270,138016,80F87D970,9982.63,US Dollar,9982.63,US Dollar,Credit Card,0
147810,4091562,2022/09/08 17:40,1292,800366520,135490,810571DE0,272.46,US Dollar,272.46,US Dollar,Cheque,0
321004,418834,2022/09/01 03:25,12797,802647790,5464,8043EC170,1914669.01,Euro,1914669.01,Euro,Wire,0
85310,442544,2022/09/01 03:33,331104,80CB8A570,331104,80CB8A570,595.32,US Dollar,595.32,US Dollar,Reinvestment,0
323352,2866178,2022/09/06 04:21,238280,8110E9B60,5329,81160C200,1934.27,Euro,1934.27,Euro,Cheque,0
116169,4508667,2022/09/09 10:08,335363,80CE56F80,235509,80CE56EE0,1112.01,Brazil Real,1112.01,Brazil Real,ACH,0
57383,1951113,2022/09/03 08:13,70,1004286F0,29715,8038A1160,69606.62,Yuan,69606.62,Yuan,Credit Card,0
157968,3326623,2022/09/07 03:02,701,802515ED0,21813,813750B10,3777.82,US Dollar,3777.82,US Dollar,Wire,0
71686,471719,2022/09/01 04:49,310394,813BE1E80,24840,813BE1D40,53.54,Euro,53.54,Euro,ACH,0
102441,2418897,2022/09/05 06:00,23885,801ABE400,18324,807A13A90,799.37,US Dollar,799.37,US Dollar,Credit Card,0
197478,301008,2022/09/01 00:27,142836,80FD7C5D0,142836,80FD7C5D0,4772.57,Shekel,4772.57,Shekel,Reinvestment,0
361191,2425895,2022/09/05 06:18,10,80CE04910,35520,80D579730,20678.82,Brazil Real,20678.82,Brazil Real,Cheque,0
94162,135720,2022/09/01 00:08,14290,802215A30,14290,802215A30,19.33,Euro,19.33,Euro,Reinvestment,0
180362,1844464,2022/09/02 23:27,1420,8002FD7B0,33355,811B24140,3.15,US Dollar,3.15,US Dollar,ACH,0
467837,4657666,2022/09/09 16:04,23344,802B225A0,16788,800C56D40,72.08,US Dollar,72.08,US Dollar,Wire,0
94317,1341709,2022/09/02 06:31,210185,803EC7790,210261,80449A3D0,9947.42,Yen,9947.42,Yen,Cheque,0
332167,4344799,2022/09/09 04:17,8248,803627980,232447,80CA4D8B0,17710.06,Yuan,17710.06,Yuan,Cheque,0
61568,4488725,2022/09/09 09:39,9371,8070D1570,16163,813471820,2262.66,US Dollar,2262.66,US Dollar,Cash,0
435805,339107,2022/09/01 00:45,6,804C70DC0,212789,80537BCD0,84957.02,Rupee,84957.02,Rupee,Cheque,0
78177,380831,2022/09/01 02:19,9608,8038EDF20,9608,8038EDF20,3483.16,US Dollar,23328.8,Yuan,ACH,0
370643,4286559,2022/09/09 02:00,38944,80C255590,12719,80C24F820,403.51,US Dollar,403.51,US Dollar,ACH,0
307426,3762076,2022/09/08 00:37,11,8002CC070,17610,80BE16160,1130.01,Euro,1130.01,Euro,Cheque,0
323361,1057321,2022/09/01 22:12,22,800E3C2F0,243837,81198A470,9.62,Euro,9.62,Euro,Cheque,0
52707,1603216,2022/09/02 15:27,131808,80CAC7CF0,9417,812F43ED0,1095.57,Yuan,1095.57,Yuan,Cheque,0
108357,4185983,2022/09/08 22:22,254595,813F45461,54348,81432A061,0.561354,Bitcoin,0.561354,Bitcoin,Bitcoin,0
491175,3869384,2022/09/08 06:12,3335,802004740,27920,8126391B0,275.57,Euro,275.57,Euro,Cheque,0
242044,1050557,2022/09/01 22:15,70,100428660,16136,8089483C0,3435.58,US Dollar,3435.58,US Dollar,Cheque,0
450698,3575963,2022/09/07 15:58,116,80E42E9E0,239453,80EE05F10,35.48,Swiss Franc,35.48,Swiss Franc,Credit Card,0
333210,4882546,2022/09/10 00:08,212818,804A54C80,13969,805CA49C0,388.78,Rupee,388.78,Rupee,Credit Card,0
320490,1806624,2022/09/02 21:49,70,1004288E8,133590,81485AFC0,8333.08,Mexican Peso,8333.08,Mexican Peso,Cash,0
321955,4019733,2022/09/08 13:45,119,8000DC420,118,811A67510,555.69,Saudi Riyal,555.69,Saudi Riyal,Cheque,0
121540,137427,2022/09/01 00:29,36499,802656B90,3489,802648830,6610.51,Euro,6610.51,Euro,ACH,0
126884,2023200,2022/09/03 17:28,29992,8048CB300,9209,807657360,395673.95,Yuan,395673.95,Yuan,ACH,0
59280,3942984,2022/09/08 10:18,70,100428660,12446,80491C7A0,88170.43,US Dollar,88170.43,US Dollar,Cheque,0
424502,3089119,2022/09/06 15:58,1665,8013D78E0,21745,80698DEA0,560.62,Euro,560.62,Euro,ACH,0
429083,235519,2022/09/01 00:02,316737,8061B0A80,7,8061B2740,0.06,Ruble,0.06,Ruble,ACH,0
233846,2099341,2022/09/04 00:38,217496,8071353B0,16927,8065E13A0,23416.28,Ruble,23416.28,Ruble,Cheque,0
428357,3257529,2022/09/07 00:16,38437,8113DF7C0,22164,800DDECC0,7.86,US Dollar,7.86,US Dollar,Credit Card,0
303120,4771983,2022/09/09 20:03,28726,80B5F0DC0,249007,812679880,171.0,Euro,171.0,Euro,Credit Card,0
387597,3202683,2022/09/06 21:46,10,8001B1C30,211050,80420F2E0,93.88,US Dollar,93.88,US Dollar,Credit Card,0
99408,1971009,2022/09/03 10:51,24144,8067B0710,234335,8113D5FB0,249.37,Euro,249.37,Euro,Credit Card,0
135771,99143,2022/09/01 00:06,19890,81051DAB0,19890,81051DAB0,1640.25,US Dollar,1640.25,US Dollar,Reinvestment,0
404849,3270286,2022/09/07 00:03,27,80B71A0E0,12,80C1A45A0,2422.11,Mexican Peso,2422.11,Mexican Peso,Cheque,0
35350,2106295,2022/09/04 01:55,70,1004286A8,21922,8080A3C50,423.54,Euro,423.54,Euro,Cheque,0
128653,3900475,2022/09/08 07:52,24856,80926B120,24856,80964E230,81.67,Canadian Dollar,81.67,Canadian Dollar,Cheque,0
380332,613740,2022/09/01 09:21,1292,8002C2DE0,28255,8031B8260,44546929.15,US Dollar,44546929.15,US Dollar,Cheque,0
275049,3592699,2022/09/07 16:37,41215,80FCC20E0,46276,811E3DE50,178.32,Euro,178.32,Euro,Credit Card,0
363679,4551596,2022/09/09 12:01,2824,8024414F0,13264,8034D8E20,41791.55,US Dollar,41791.55,US Dollar,Cheque,0
424228,2381893,2022/09/05 04:09,37969,810511640,4866,81422B130,9766.16,US Dollar,9766.16,US Dollar,Cheque,0
185656,3380944,2022/09/07 05:35,142950,8107AB410,45304,810B89B00,69458.82,Shekel,69458.82,Shekel,Cheque,0
10495,1535270,2022/09/02 13:22,8623,80520D8D0,12446,80D1655E0,5106.97,US Dollar,5106.97,US Dollar,Cheque,0
489699,2336386,2022/09/05 01:48,287,807077890,117304,80717A440,15964.46,Ruble,15964.46,Ruble,Cheque,0
442499,5022001,2022/09/10 16:56,243947,8102190D0,14,810679E70,754.39,Shekel,754.39,Shekel,Cheque,0
349167,2644371,2022/09/05 17:32,1,80244B1A0,29317,80F643740,18.17,US Dollar,18.17,US Dollar,Cash,0
153351,79254,2022/09/01 00:04,10,80CFD91E0,10,80CFD91E0,9.23,US Dollar,9.23,US Dollar,Reinvestment,0
